category	text
Positive 	 Myarakam ikka  Hollywood direction and visuals
not-malayalam 	 ADDICTED .SMASHING REPLY BUTTON NOW :)
Positive 	 Njn oru ettan fan ahnu.trailer pwolichuttoo ikka superr abhrahm pwolikm
not-malayalam 	 My gosh hollywood bgm and entry mammoka muwaaaa
Negative 	 Veendum slow motion kanichu alukale vadiyakkan ethittundu
Positive 	 redy ayikko makkalee.. vedikettinu thiri koluthi..
not-malayalam 	 From 0:33 Mega mass...  Megastar next Blockbuster
not-malayalam 	 What a making man.. awesome
Positive 	 Kidivey ennu parayunnilla athilum valuthIkka prathekshakalkkappuram
unknown_state 	 Enna parayana  onnum parayanilla
Positive 	 Adipoli Vere level  Aayttam ethumathi fdfs polichadukkan
Negative 	 Ente ikka ningale vellan oru lalapanum pattula
Positive 	 don't do dislike .ikka polichu super
Positive 	 Enth parayana ...pwolich adukki Bgm Vera level
Positive 	 Ithentha big b remakeoo Ennayaalum maassssss item annn mammuka vere level
Positive 	 Njan oru katta eettan fan aayirunnu pazhassiraja kandadode oru ikkaa fan aayi Abraham polich  Ikkaaa polich Ikka bakthan
Positive 	 Kidukachi trailer... Bgm oru rekshayum ella.....
Positive 	 entay ponnoo kola kolli item vannu makkaleay
Positive 	 ikka oru rakshayum illa ajathi item
Positive 	 Ith verum mass alla marana mass
Positive 	 Ikka pwli...padam 100 days urappu....adiyada makkale ikka kku oru like...
Positive 	 Pakka mass..... Ikkka heavy    Bgm pwolich
Positive 	 Mammookkka ningal mwuth aaann
Negative 	 ONKV ood neeraliii kandam vazhiii Ikka marana mass
Positive 	 Kandittu malayala cinimak nalloru savidayakan koodi kittum ennoru thonal
Negative 	 500 + dislikes .. Endonadey... Endu kandit aane  dislike adkne
Positive 	 Ithine ale teaser en vilikunne? enthayalum kidukki
Positive 	 entammo.........onnum parayaaanilla......vaakukalku appuram.......romanjaaam at it's peak
Negative 	 unlike adicha ella oolakalum ivide thanne kaananam tta
Positive 	 Ikkayude johny walker ormma varunnuu vere level
Positive 	 Ikka vere level Mass bgm pwli  Ikka mwth
unknown_state 	 You tube hang ayo ??? 34K views change avunnilalo 🤔🤔🤔
unknown_state 	 NIMISHANGAL KONDU 34 K...BUT IPPO KURACHU NERAMAAI ANANGUNNILLA
Positive 	 Ninglu kuttam paranjooo... But music pwoli aanuu gopi annan mass
Positive 	 Da ikka da mass da ikka ummmaaaa
Positive 	 Ee varshatthe maraka mass padam kidu bgm
Positive 	 30 minute 34 k views padam poorikum
unknown_state 	 car enu eragi nadakunath kandapol Bilal ena orma vanath enik matharam anoo
unknown_state 	 0:42 big b aane enne thonne pooye
Positive 	 Uff Mammookka'$ entry BGM Stunning trailer
Positive 	 Memories inu shesham nalloru triller pratheeshikkunnu
unknown_state 	 onnil kuduthal thavana kandavar like adike
Positive 	 Hvy bgm.... Hvy trailer....... Hvy massssssssss...... Ikkaaaaaaaaaa polikkumm.... Romanjam kond irikan vayya.... Ikka inga polikkum
Positive 	 Nte ponno oru rakshayum illatta makinggg......polichu....MAMMOOKKAA
Positive 	 Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..
Mixed_feelings 	 Orupaad ishtaayi ee padam englm hit aaya mathiyenu
Positive 	 kollakolli item enne paraju kettate ullu eppol kando first day locked
Positive 	 Mass  Ikka  Terror bgm Ithu pwolikum
Positive 	 njn kandathl Etavum mikacha trailer yennu thanne prym #ikka <3 .. #Ennum ikka
Positive 	 Vere Level...... Trailer pwoli......  Bgm katta mass....
Positive 	 Ikkaa vere levelaaaa.. Masss ka baap
Positive 	 Reapettt mode..on...!!. Enne ividenn arenkhillum onn  kondopoko...????
Positive 	 Ikkha Mess aanu  #mamookkha  #dq
unknown_state 	 veruthe alla neerali kandam vayi odiyath
unknown_state 	 sorry padam maari poyii ithu etho hollywood padam
Positive 	 Neerali release date epozha makkale ..... Perunnal Derrick abraham angu eduthu makkale
Positive 	 Screen presence il mass kanikaan mammukka kazhinjitte mattaarum
Positive 	 Heavy Stills onnum oru rekshem illa adipoli fdfs locked
Positive 	 Hollywood style...mammukka Box office kidukkum..mass stylish thriller aayirikkum...
Negative 	 Ikkas padakkam number 04 of 2018 loading
Positive 	 vere level trailer and bgm gopi sunder musical
Positive 	 Vere aarkund makkale ee prayathil ingane mass kaanikunne oru hero
Negative 	 aaa dislike adikkunnavanmar verarumalla complete actorinte sperm
Positive 	 Uffff  Ussar look mammookka
Positive 	 Mammookka....mass n style kanikan...ningale kazhinjeyullu malayalathil vere nadanmar.. #style #mass #bgm #dop #mammookka vere level... Fdfs locked
Positive 	 Pwolicheeee mammookkaa ingalu oru maha sagaram thanneyaaa
Positive 	 romancham ennokke paranja koranji pogum ....athukkum mele
Positive 	 Enta ikka polichu   Kidu item  Ethu polikkum
not-malayalam 	 Die Hard Mammookka Fans Like Here
unknown_state 	 Katta ikka fans adi makkale like
Positive 	 Adipoli
Positive 	 Polichu
unknown_state 	 Mamooka grls fans evde hit like
Positive 	 Youtube enagne  hang akathirikkum .korach koodiya item alle vannikkn
Positive 	 Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam
unknown_state 	 Mammukka fansnu like adikkan ulla nool
Positive 	 Kurach kathirunnenkil entha
Positive 	 Annum ennum ennum ikka mass 🤩🥰
Positive 	 Ith bumber hit aavum enn urappullavar
Positive 	 Uff poli... Mammookkede aaa ottam oru rekshayilla
unknown_state 	 Megastar fans like here  അടിച്ചു pottikkadeyy
unknown_state 	 E filim ethe vare kanathavar undo
not-malayalam 	 Who else after mamankam trailer 🥰
Positive 	 Ithu pole bgm ulla mass trailer ithu vare iragiyittila .
unknown_state 	 Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo
unknown_state 	 1 year of AS.  Aarokke trailer kanan vannu 1 year aayath kond
Positive 	 Madhuraraja and abrahaminte santhathikal .........vere level
unknown_state 	 Ippoyum vnit aarakilum trailer nokr undoo mammuka ishtam love you
unknown_state 	 Rajaye... Kandittu derickine kanan vanathu njan mathram anooo.... 🤗
unknown_state 	 lucifer trailer kanditt ivida vannavar aarokke
Positive 	 masss effect
Positive 	 Ente ponnoo.. Gopi Sundar .. Ingal poliyanu bro.. Mammookane pinne enthu parayaan oru raksheellaaa
Positive 	 Kidu bgm for ikka kidu movie super
Positive 	 ankilinteyum parolinteyum parajayathinu shesham mammokkayude shakthamaya thirichu varavu
not-malayalam 	 SECOND BOX OFFICE GROSSER IN MALAYALAM   MEGASTAR MAMMOOKA
Positive 	 Big b ikka annum innum top lookillum abhinayathilum
Positive 	 PazhKkam koodubol veeryam koodunna veenanu ikka
Positive 	 Maranamass padam....Padam kandittum njan thaa trailer kaanunnu
Positive 	 Pala chettakalum chelakkatte ith onnonnara padaman
Positive 	 2 million views!68k likes!!!!! IKKA vera level.......
unknown_state 	 All Kerala mammooty fans anangill ADI ORU like
Positive 	 padam ennum kandu  eppazum kannan thonunna padam
Negative 	 Padam parama Koothara
Mixed_feelings 	 Big b nte cheriye cut unduu
Positive 	 Cinema vizag kandu... Polichu ... Super duper hit
Negative 	 Maryathakku oru trailer polym irakaan arillaaayy
Positive 	 Nyan lalettan faanannu pakshe stylishaayitttu ijjathi padangal chyyan ikkakku kazhiyullu
not-malayalam 	 I'm a big fan of you Mammookkkaqq
Negative 	 Banal trash. Panavum nashtam samayavum nashtam.
Positive 	 Mammookka ningal oru sambhavam thanne
Positive 	 Enna looks ikkaaaa. U r really maaaassss. Heavy film. Romaanjification at the peak.
Positive 	 Entammmo kidilan teaser.  Like big B....
Positive 	 kidu padam jst watched ponnikka ingala maranamass aanu
Positive 	 Padam kand
not-malayalam 	 Mammoty Fan Like Dulqar salmaan Fan Comment
Positive 	 machaa.......aa BGM ente manasill angottu keri polipolikukayaanu
Positive 	 Padam polichu mass + class movie
Positive 	 Ponnikkaaa.  Kanditum kanditum mathivarunnilla engale...
Positive 	 Super film adipoli next joshy director enu paryam
Positive 	 onnum parayanilla mammoka superb bgm woww
Positive 	 padam vere level aanu  big B ye kaalum mass aanu
not-malayalam 	 Like gopi s said bgm 's are heavy
Positive 	 Ho aaa BGM. Mammookka ithu oru pwoli pwolikkum
Positive 	 ikka oru raksha illa super waiting
Positive 	 Ikkayude adya 100cr padamakum ithennu urappullavar like adi
Positive 	 ith pwolikkum enn urappullavar adi like
Positive 	 ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha
Positive 	 ikkade ethu videoyum trendingill undaavum athu 1m mugalill views
Positive 	 verey level maranamaass neeralikk polumilla 1 m views
Positive 	 Oru rakshyum ellaa bgm hats off gopi sundar chettaaa
Positive 	 Oru yugam bharicha chakravarthiyude randam udayam
Positive 	 kalakki ikka ith adar item arikkum
Positive 	 Ente ponnikka...ningalu Oru rekshayum illa.... polichadukki... idikkatta waiting...
Positive 	 Malayala cinemayude charithram mattan deric abraham june 16 ethum
Mixed_feelings 	 Big B 2 pole und
not-malayalam 	 DERICK ABRAHAM IN SWAG HU!!!
Positive 	 Vera oru nadaneyum mosham parayan njanilla ennalum ijjathi items ee prayathilum nalkan ee megastarinu mathrame kazhiyukayollu
Positive 	 O ikka polichu 68am vayasillum mass lookka
Positive 	 Youthanmarude youthan njanmmala ikka#FDFS# katta w8ing
Negative 	 Neerali backilekk mari ninnollu Karanam verunnath Abrahaminte pidithama athil neerali churungi pokum..#Abrahaminte_Santhathikal Rise up. ..padam blockbuster hit aavum aavum
Positive 	 Tgf teaser kola mass aanenkil.... Abrahaminte santhathikal trailer kodoora maassum alla... Athukkum mele aanu !!
Positive 	 Mammookkaa polichuuu hvy trailer katta waiting
Mixed_feelings 	 SKECH BGMNOD ENTHO SAMYAM ULLAPOLE.. ENNALUM KIDUVE...
Negative 	 Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu
Mixed_feelings 	 Thokk
Positive 	 ikkaa polichu.. big b mood poli bgm
Positive 	 Ikka mass Kolamass no raksha
Positive 	 Ethu pollickum 2 days kondu 1 millon pulimuragan 3 days edathu 1 million adikkan  Ekka da
Positive 	 Pwoli trailer  BGM vere level  Ithokke kandal mathi ithil ninne manassilakkam box office poorakkadal akum
Positive 	 June 16 Keralakara ilakki marikkum ikka
not-malayalam 	 What a BGM ...stunning ...mammookka
Positive 	 gopi anna polichu bgm BIG B ku shesham  veendum kidu
Positive 	 Namichuuu Ikkaa. Engaluuu pwoliiiyaaanu . Love you ekka
Positive 	 Enna kidu bgm ahnu ikka
Positive 	 Kolamass alla Marana mass alla adhukkumeleya nummedae ikka  Ikka ki jayyi
Positive 	 All the bst mamukkaby katta lalettan faan
Positive 	 Njan oru ikka fan alla paksha as a malayali i am katta weiting for raja 2
Positive 	 Long live ikka  Long live ettan  Long live Malayalam movie
unknown_state 	 ithu kalakkum adi makkale like ee rajayude pillar strong kaanich kodukk....
Positive 	 Prayaththe vellunna meyazhakkam ulla nadanan megastar.prayam marannulla aareyum athishayippikkunna actions aan enikk eetavum kooduthal ishtappettath
unknown_state 	 131k   8k.    View 17k  🤔🤔🤔
Positive 	 aadyam Lucifer eni raja ...box officinta kaaryatil teerumanamayi
Negative 	 Padam flop aavm Enna Kaaryathil oru doubtum illa....
unknown_state 	 രാജ  trailer first കണ്ടവർ like.
unknown_state 	 Lucifer trailer ethineka kuduthal repeat adich kandavar like adi
Negative 	 Ayyeee Lucifer Oru political movie athine copy adichu madura raja Ee cinema director COPY SUNDAR  aano🤭
not-malayalam 	 Kerala super star....... last scene makes goosebumps.
Negative 	 Ooo mire. Njn vicharich teaser Poole uumbiyath aayirikkum nn. Id verre level kolakolli itemm..
Positive 	 Lalettan fan aanu. Lucifer thakarthu. Ithum adipoli aakatte ennu aashamsikkunnu...
Positive 	 Chechiuede mukham kandu like  cheythavar aroke ikka
Positive 	 Trailer  kalaki Pwolichu  madhura raja cenimakku vendi katta waiting
unknown_state 	 MADHURA pazhaya kochiyallennari \r yaam..pakshe RAJA pazhaya RAJA\r tanneaa.
not-malayalam 	 I like u sir u my Ysr
Negative 	 Trailer pora comedy okkae nalla katta chali avan high chance kanunnu.
Positive 	 .35 oru pulimurukan touch vannu .enthayaalum sambavam kidkeetund
Positive 	 Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......
not-malayalam 	 All the best ikkaaaaa #A10 fan boy
Positive 	 Pwoli pwoli...  Raja sollaruth mattum tha seyyum  seyyaruth mattum tha sollum
unknown_state 	 Ekka @ Madhura Raja
Mixed_feelings 	 Valiya pratheesha illa nalla entertainment  aayirikkum
Positive 	 Ine lucifar  loosaavum  illenkil raaja loosakkum ntammo kidu mammookka
unknown_state 	 Ikka and Kunjikka fans like ady
unknown_state 	 17 k views 118 k like ??
unknown_state 	 Pulimurugan fight feel cheythath enik mathram aaano
Negative 	 Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla
not-malayalam 	 Jayamravi fans selam.. Ungalallavarum mammooty sir k support pannungo.. Mammooty sir. Great fans selam jayamravi fans
Positive 	 Ikka kathirikunuuuuu orupadu predhishyodaii madhura Raj valiy vijayum kaikolatai annu ashamsikunu
unknown_state 	 18 k views 125k likes 🤔 🤨
Positive 	 Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu
unknown_state 	 Ettan fans like adiii..
not-malayalam 	 Tamilnadu jayamravi fans ellavarum. Mammooty sir k support pannunko.. Madauraraja..
unknown_state 	 1:39  kandu kozhitharichavar Adi like...
Negative 	 enthinaannu allukal dislike adichu koottunnathu ennu enikku manassilaavunnillaa
not-malayalam 	 Like from superstar thalaivar rajini sir fans
Positive 	 Mamooka ishtam. Ennitum Njan Lucifer kandu laletante acting Kidu anennu mammokka fan aya enik parayAthirikan pattilla..
Positive 	 Tripple strong nnn paranjapam daridryam akumn vjarich....idh takarthuto....waiting...ee prayatilum thalarata aavesham....ingal vallatoru manusyan thanne
unknown_state 	 10 million views adikkumenn parayunavar like adikku
not-malayalam 	 Best wishes from tamilnadu...theriyumley raja seiyuradha solluva solluradhamatumdha seivan
unknown_state 	 17k views - 123k likes is this hacking 🧐
unknown_state 	 Views 17k.. likes 100k .. itenda ingne?
not-malayalam 	 100k likes and 700k views within 1hr
unknown_state 	 Laalettan fan aaan.. ennaalum ee padam Oru vijayam aakanam enn agrahikkunnavar like adiche
Positive 	 Lucifer oppam pidichunilkanulla ella adavumaayittannu varavu kaathirunnu kaanam adiyude vediyude podipooram
not-malayalam 	 17k viewers
Mixed_feelings 	 Super trailer avasanathe idi super  But BGM pulimurugan copy
Negative 	 Sudappikal kuttathode vannu thalli thalli thurimezhugunundallloooo
Positive 	 Pwli oru rakshyum illa muthaa ikkaaa
Positive 	 Avasanathe idi veendum veendum kandavar ethra und
Mixed_feelings 	 Trailer kollam  Amita prateeksha venda
Positive 	 Nigal polike ikka katta ikka fan
not-malayalam 	 raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans
Mixed_feelings 	 Prithivraj koodi undayirunnel vere level aayene
Positive 	 Raajayum pillerum triple strong ennu teaseril. Prithvirajinte oru cameo manakkunnu.
unknown_state 	 17k views 122k likes 12k dislikes  #How is it possible..🤔
Positive 	 Randu perum vishu angot kondu poyi...... Malayalam cinema industryde uyarthu ezhunelpum
unknown_state 	 Kanjaavu business nashtathilaayappol daddy girija kallavaattu business thudangi.
not-malayalam 	 Mamooka and jai.. super..  blockbuster
unknown_state 	 Once a raja always a raja
unknown_state 	 Madhura Raja yil Madhuramaya Rani sunny chechi ne kaanaan katta waiting cheyyuntavar undo..?
not-malayalam 	 17K views and 112k likes in 90 minutes?
not-malayalam 	 Raja sollaratha thaan seivaan seiyratha mattum thaan solluvaan thalavaaaaa...mammutty.....  #tamil hit fans......
not-malayalam 	 17 k view 119 k like 12 k dislike... ???
Positive 	 Wowww ekkaaaa I love you mmaaaa
unknown_state 	 Ethena makkalee item ane paranal raja
unknown_state 	 Rajuvine miss cheyyunnennu thonnunnavar like here
Positive 	 KATTA WAITING.BGM POLICHU ORU RAKSHAYUMILLA.SUPER.MEGASTAR MAMMOOKKA
unknown_state 	 Entammo enthuvada ith enn trailer kandapol manasil karuthiyavar like adi
unknown_state 	 Idivattu sugunan avedaaa Suraj Undo vyshak sir
Positive 	 Ayo last aaa stund yente ponnu ikka
Mixed_feelings 	 Mammukka superb...but e trailer cut pulimurukan second pole undallo
Positive 	 trailer  marana  mass  mammoka  magastar
not-malayalam 	 17k views in 1hr 10k cmnts
Positive 	 Lusifar and madura Raja 100Codi clubil kayaranam apo indiyil atvum valiya indastrey Malayalam film indastrey avum
Positive 	 Last aa adi... Ammo onnim parayaanilla
not-malayalam 	 117 k likes  17 k views  YouTube gottt  hanGed #Rajaeffect #Rajareturns #Madhuraraja ...
Negative 	 Luciferinte athrayum eatthilla ninte vatturaja pinna sunny chechie ullathu kondu kaanaaaam
unknown_state 	 Sunny chechi fans evide like adichu power kaniku🤣🤣
unknown_state 	 Sunny chechiye kandavar like adi
Mixed_feelings 	 Chela forest seen okke evido kandapole 🤔🤔🤔🤔🤔 aaaaaaaaa.......pulimurukan..........
not-malayalam 	 pelo trailer parece ser muito bom! Amigos vem conhecer meu canal! Estou começando agora
Positive 	 തീപ്പൊരി waiting ah  raja  mammookka
not-malayalam 	 Megastar swag  17 k views  115 k likes
Positive 	 Arokke nthokke paranjalum ikka njngade swanthon njngalk 100 kodeem 200 kodeem onm vnda
unknown_state 	 Last thalaiva tonum ikkante jumbum
Positive 	 Ithu oru poli polikum മാസ്സ് item
Positive 	 Superb ikka njn oru ettan ഫാൻ
Positive 	 Sunny chechiye Kannan vannavar Eveda onnu like adukku.
not-malayalam 	 Raja sollurathu dan saivaan sairathu daan solluvon
Positive 	 Rajayum pillerum stronga fourble strong waiting madhuraraja
not-malayalam 	 0:36 to 0:39-En peru chinna Raja annanoda thambi maari$ Hit like for jai
Positive 	 Ikka polikku numma A10 pilleru kude ondu..
unknown_state 	 17 k views 114k likes  YouTube hang aayii makkaleee
unknown_state 	 Views 17k
Mixed_feelings 	 Voice onnitaum movie vere onnitaum
Negative 	 Ee role mammookkak aahnnu cherunathu anu arinja...lalettan fans right now kurupottikal....🤣🤣🤣🤣
unknown_state 	 Lalettan pola dialogues parayan arakum kazhiyal agakathum ella
not-malayalam 	 I'm waiting for the kunjali marikkar
unknown_state 	 Voiceatokke ikka kasargod muthal tirupanantapuram vare
Negative 	 enthu myru dailogado ikkayude ketitile athu pole para mo e.
unknown_state 	 Pearu nooki aaneallom ippol commentum idunna ...Ella idathu matham aakiyo?
Negative 	 Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..
Negative 	 Aah nalla best marakkar...sound kettal thanne ariyam...ithu adutha neeraliyo odiyano aavanulla laksham aanu...daivame ee pulli ithu enthinulla purapadu aanu...🤣
Negative 	 Usmanee.... Mmmuk eenthapaya kachavadam matti bala kachavadam tudangam.. Evdoo kettapole 🤣
unknown_state 	 Ithu fan made aano pakshe lalettanunee veesham cheerillannu parayunnavar  ithu lalettanee cheeru
unknown_state 	 ഇത് pirats ഓഫ് caribian annu bri
Negative 	 Ee padam  mammootyiku  kodukanam  ithilum adipoli ayirikkum    Pakshe  ivide mandatharam sambavichu  kashttamayipoyi
Negative 	 Mammooty fans
Negative 	 Voice kollillaaaa..... Charithra cinemal ingalk pattilaaaa... .....
Negative 	 Yadhaartha kadha
Negative 	 aaahaaaa negative comment aayi kure pannikal vannallllloooo
Mixed_feelings 	 Kilichundan mambazhathile... Laletan dilog parayana pole
Negative 	 ayyeeee.....ithenthu samsaram....slangue pattilla lelettanu ...... sadharana malayalam mathi aayirunnu....ithu nalla bore aayitund
Positive 	 Laletta adich policho laletta Nigaloru muthaan ie padam Vijayikom nokiko apo
Negative 	 Charitra cinima lalettan cheythal athu munnottu pokilla. In flopped
unknown_state 	 Ikkante dialoge alla ethu ambilada sounda
Mixed_feelings 	 Ee visula marakrille alla.ore english movie de trailer aane.but dailogue same ane
Negative 	 Ei padamonnu erangikkottay athenu mumbay ningalu thallallay
Positive 	 Sound athu screenil kanam  lalettan polikkum
Mixed_feelings 	 Thugs off hindusthaninte visualsum  kunjalimarakarinte audio um ....kollaaam....
Negative 	 Ettan kootiya koodoola adurappa end diloga id chirichu chavum
Negative 	 Laleta pattunna kadhapathram cheeyy ningalk charithra cinema sheriyaakoola Aa samayam 2 adipoli cinema cheyyan nok borayitund dialog
Negative 	 ikkante eazhrikath varilla ikkante varunnu kunjali marakkar  WAITING IKKA POLIKKUM
Negative 	 ippo mansilai e padam 8 nilayil pottum
unknown_state 	 I love മലയാളം-ಮಲಯಾಳಂ- Malayalam movies. Love from ಕರ್ನಾಟಕ-കർനാടക-Karnataka
not-malayalam 	 1 year of Odiyan Trailer
Mixed_feelings 	 Padam moonjalaanelum ippp trailer kandaalum romaanjam
Negative 	 Ee padathien ethra Kali aaiiyalum mammuni enn parayunna nadante oru padathinum ithinte collection record thakarkan pattitila...nthin pakuthi polum ilaaa
unknown_state 	 TV yil padam vanna shesham trailer kanan vannavar arokke und
unknown_state 	 Lucifer trailor kandit..  odiyante viewsum likeum nokkan vannavar arokke anu...
unknown_state 	 Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan
unknown_state 	 Lufier trailer kandu odiyan kandavar undo
Positive 	 trailar um padavum vere annello ethe ennaaa
Positive 	 Happy New Year LalettaCinema kanduketto..Love u
Positive 	 Film kandu..mikacha chithram..mohanlal manju warier magic..
Negative 	 E negative commentsitta  ella oolakalkum kadutha asooya matram...athinithuvare marunnu kandupidichittilla
Positive 	 Njan padam kandu....kidukachi padam .....ellaarum ee padathe Patti negatives mathram parayunnu...I don't know why....any I lived this movie
Positive 	 Ippol kandittu varunnatheyullu THE MOST DRAMATIC CINEMA I HAVE EVER SEEN
Positive 	 Adipoli   പടം #ഒടിയൻ Istam
unknown_state 	 avasaanam ODIYANDE oru  honest review kandu. Cheytha chettanmaarkku naani :)
Mixed_feelings 	 watched odiyan..3.5 out 5..kidu movie korch lag Ind but kandirikkam..mohanlal as swamy mass.....
unknown_state 	 confident ayi dialogue adicha palarudeyum comments athinte present replies kandu  chirikan vannatha
Positive 	 mohanlal anna ningal veru mass alla kola massaa
Positive 	 Laaleta...manjuchechi...super hit anutto ee fillm ...I like..odiyan...
Positive 	 Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.
not-malayalam 	 I watched odiyan in toronto..romba nalla irundudu movie naan laletaan sema trim aa irundaaru..nice attempt.
unknown_state 	 Ippo E comments vaayikkumbalu Nalla. Sukhondu
unknown_state 	 Padam kandavar ivide kayari comment adike
unknown_state 	 Cinema pottiyathinnu shaesham kanunavar like adichae
unknown_state 	 Padam kandathinte shesham trailer kannunna ethra perude onne    like adiche
unknown_state 	 Padam kandathinr shesham trailer kaanaan vannavar ethraperund
unknown_state 	 Padam release aytt arengilum trailer kaanunnundo
Negative 	 Anthamaaya thaara aaradana aaswadana nilavara thakarchayude soochanayanu. Cinemaye swathanthravum kalaaparavumayi veekshikunna oru yuva janathayeyanu malayala cinemak aavashyam
Mixed_feelings 	 Padam oru horror movie akkamarnnuuu kaanunnavar koodi pedikanarnu
Negative 	 OVER HYPE KODUTH EE OOLA PADATINU VENDI TALLIYA ELLA OOMBANMARAYA LALAPPAN FANSINTE KARANAKUTTIK NOKI ONN POTTIKAN TONUNNAVAR LIKE EDUKA
unknown_state 	 Padam kandathinu shesham ivide vannavar like
unknown_state 	 Padam kandit vannavar etra Peru und.
unknown_state 	 Padam moonjiyathinu shesham ethra peru vannu?
Negative 	 enii orikalum nii oru film um direct cheyalle poda V ASree kumari
Negative 	 odiyan thulapichu myran V A Sree kumar kopan poda
Negative 	 V A sree kumar is indian film joker in malayalam industry fool poda sree kumari myre poyi chavada vatta
not-malayalam 	 I WISH IF IT WAS WRITTEN BY MT AND DIRECTED BY I V SASI OR HARIHARAN.......
Negative 	 Endhokke aayirunnu malapuram kathi.kozhikode aluva
Negative 	 Enta ethra kalikandittullatha ne? E ODUKKATHEkali vendaarunnu laletta
unknown_state 	 Release nu shesham trailer kandavar like adikk. Enthokke aarnu....
unknown_state 	 Padam kanditte ite kanan vannavar like poduu.
unknown_state 	 Karyangalkoru theerumanam aya sthithik cash kalayunnilla.. Odiyan
Negative 	 Oooo Odiyan
Negative 	 Endokke ayerunnu.... Lag padam... Monee shree
unknown_state 	 Padam kand shesham trailer kanan vanavar undegil like adi
not-malayalam 	 Spoiler alert# odiyan is not mohanlal. Manikyan is Mohanlal. Villaign is odiyan.
unknown_state 	 Cinema kandit vannu trailer kanunna ethraperund evde
unknown_state 	 Odiyan kand ishtappettit trailer nokkan vanna aarenghilum ivade inda ?
Positive 	 Theatre baaki undayal mathiyarunu...ente laletaaaaa....ingal vere level aanu man
unknown_state 	 1 week kayinjal edenkilum channelil kanam
unknown_state 	 Nale odiyan kanan pokunnavar like adi makkale
unknown_state 	 Odiyan Release inte Ann harthal vechekunavan marude muhath nokki onnu kodukan thonniyavar Like Adi
unknown_state 	 first day padam kanan pokunnavar adi
not-malayalam 	 Odiyan 2D Animated trailer
unknown_state 	 Nala fan show kk ponavar adi like
unknown_state 	 Lalettan fans like adiche .......lalettan ki.......mmmmaaaa
unknown_state 	 release nalle....kanaan povvunnavar ...plzz like...palettan katta fans
unknown_state 	 Mohan lal alla odiyan  ennariyavunna eathra pear und?
unknown_state 	 Pinneum pinneum ithu kaanuna ethra peer und
Positive 	 Odi vidyakal kannan kathu nilkukyanu laletta
Positive 	 Odiyante releasinginu vandi kathu nilkukyanu laletta
Positive 	 Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa
unknown_state 	 Ithonnil kooduthal kandavar undengil adi machane oru like
unknown_state 	 Njn matramano ee trailer oru noor thavanaaayit kand kond irikunne
Mixed_feelings 	 Verupikkal manju ullathu ozhichal baki ellam super
Positive 	 Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting
Negative 	 Ithrem dislike adichavar malayalikal aagan vazhiyilla
not-malayalam 	 🤣🤣🤣🤣🤣 kya mazak hai... Hans hans k lotpot ho jaoge BC... Aise movie kon dekta hai??
Mixed_feelings 	 ethentha lalettan thanneyano dout akunnu
Positive 	 Eniyum eniyum malayala cinema orupaad uyaragalil ethatte
Positive 	 Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku
Positive 	 Ikka uyire.... Malayalm cinema ude abhimanyam...... Mammukka Fans Like here
Positive 	 kaalame ini pirakkumoo ithpoloru vismayam   Mamukka___
Positive 	 Last oottam kanddo makkale onnum parayaan illa aaa face lle mattam anergy uff powlikkum ikkaaa
Positive 	 Trailer veedum veedum kanunavare njn mathramoo??????
unknown_state 	 Ikka fans onnu like cheythit po
unknown_state 	 Panangad karu und engil like adikuuu
Positive 	 Malayalam cinema technical aayi orupaad uyarattee. Valiya budget quality films iniyum ithe pole undavatte.
Positive 	 Vere level ..  cinema aakum. Ithu
Positive 	 Hai Mammukka rope action maati vfx aakiyallo. Pwoli
Positive 	 Appol  lalettante padathinte Record ellam  thakarthu  eriyan pokunnu alle ayikotte malayala  Cinema uratte
unknown_state 	 Today is my birthday.. Enik oru 10 like tharavo..
Positive 	 Ikkaante pilleer onnu othu pidiche namukkid 15 million wiews aakanam
unknown_state 	 November randam theeyathiyum kaanunnavar like adik
Positive 	 Oru rakshayum illa... adhi gambeeram ennu parajal idhanu namichu
Positive 	 Njan oru ikka fan alla  Pakshe ente romam vare ezhunnett ninnu apaaram
not-malayalam 	 All india  level movie
Positive 	 ente mamookkaa.... ijjathi....  romaja.kanjukam..  mammootti istham....  ithu kalakkum.. polikkum... thimirkkum
